id,type,province,city,address,img_url,value,owner,name,page,prov_id
1030002373,عمارة,,,14 شارع ابن جحدم – حمامات القبة,http://urbanharmony.org/images/tazalomat/01030002373.jpg,ذات قيمة معمارية متميزة,,,1,
20800001029,عمارة,,,10 ش رشيد - مصرالجديدة,http://urbanharmony.org/images/tazalomat/020800001029.jpg,ذات قيمة معمارية متميزة,,,1,
4270000090,عمارة,,,38 ش 85 المعادى,http://urbanharmony.org/images/tazalomat/04270000090.jpg,ذات قيمة معمارية متميزة,,,1,
2080000038,كنيسة,محافظة القاهرة,المنطقة الشرقية,22 ش عثمان بن عفان,,ذو قيمة معمارية/عمرانية,وقف بطريركية الروم الأرثوذكس,,4,1
2080000000,عمارة,محافظة القاهرة,حى مصر الجديدة,28 ش اسماعيل رمزى رقم 5و13,http://urbanharmony.org/images/tazalomat/02080000000.jpg,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000001,عمارة,محافظة القاهرة,حى مصر الجديدة,36 ش الخليفة المأمون,http://urbanharmony.org/images/tazalomat/52%20Othman%20Ebn%20Afan.jpg,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000002,عمارة,محافظة القاهرة,حى مصر الجديدة,6 ش سيد عبد الواحد,,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000003,عمارة,محافظة القاهرة,حى مصر الجديدة,6 ش المماليك ناصية السلحدار,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000004,عمارة,محافظة القاهرة,حى مصر الجديدة,8 ش المماليك ناصية السلحدار,,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000006,عمارة,محافظة القاهرة,حى مصر الجديدة,3 ش سيد عبد الواحد,,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000007,عمارة,محافظة القاهرة,حى مصر الجديدة,5 ش سيد عبد الواحد,,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000008,عمارة,محافظة القاهرة,حى مصر الجديدة,4 ش المماليك,http://urbanharmony.org/images/tazalomat/02080000008.jpg,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000009,عقار,محافظة القاهرة,حى مصر الجديدة,4 شفيق غربال ناصية المماليك,http://urbanharmony.org/images/tazalomat/shafik%20ghbrial.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000010,عقار,محافظة القاهرة,حى مصر الجديدة,24 ش الخليفة المأمون,http://urbanharmony.org/images/tazalomat/02080000002.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000011,عمارة,محافظة القاهرة,حى مصر الجديدة,38 ش الخليفة المأمون,http://urbanharmony.org/images/tazalomat/02080000011.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000018,عمارة,محافظة القاهرة,حى مصر الجديدة,3 ش القبة,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000019,عمارة,محافظة القاهرة,حى مصر الجديدة,5 ش القبة,http://urbanharmony.org/images/tazalomat/02080000019.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000021,عمارة,محافظة القاهرة,حى مصر الجديدة,18 ش القبة,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000023,عمارة,محافظة القاهرة,حى مصر الجديدة,55 ش الخليفة المأمون ناصية علي الروبي,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000024,عمارة,محافظة القاهرة,حى مصر الجديدة,57 ش الخليفة المأمون,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000025,عمارة,محافظة القاهرة,حى مصر الجديدة,61 ش الخليفة المأمون,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000026,عمارة,محافظة القاهرة,حى مصر الجديدة,63 ش الخليفة المأمون,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000027,عمارة,محافظة القاهرة,حى مصر الجديدة,65 ش الخليفة المأمون,http://urbanharmony.org/images/tazalomat/02080000027.jpg,ذو طراز معمارى متميز,,,5,1
2080000028,عقار,محافظة القاهرة,حى مصر الجديدة,11 ش شفيق غربال,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000030,عمارة,محافظة القاهرة,حى مصر الجديدة,14 ش السلحدار ناصية شفيق غربال,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000031,عمارة,محافظة القاهرة,حى مصر الجديدة,12 ش السلحدار ناصية شفيق غربال,http://urbanharmony.org/images/tazalomat/02080000031.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000032,عمارة,محافظة القاهرة,حى مصر الجديدة,13 ش السلحدار ناصية شفيق غربال,http://urbanharmony.org/images/tazalomat/02080000032.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000033,عمارة,محافظة القاهرة,حى مصر الجديدة,12 ش شفيق غربال,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000034,عمارة,محافظة القاهرة,حى مصر الجديدة,17 ش شفيق غربال,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000035,عمارة,محافظة القاهرة,حى مصر الجديدة,67 ش الخليفة المأمون ناصية شفيق غربال,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000036,عمارة,محافظة القاهرة,حى مصر الجديدة,12 ش عثمان بن عفان ناصية طلخا,http://urbanharmony.org/images/tazalomat/12Othman%20Ebn%20Afan.jpg,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000037,عمارة,محافظة القاهرة,حى مصر الجديدة,44 ش صلاح الدين ناصية ش عثمان بن عفان,,ذو قيمة معمارى/عمرانى متميز,,,5,1
2080000038,كنيسة,محافظة القاهرة,حى مصر الجديدة,22 ش عثمان بن عفان,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000039,عمارة,محافظة القاهرة,حى مصر الجديدة,24 عثمان بن عفان ناصية الفسطاط,,ذو قيمة معمارية/عمرانية متميزة,,,5,1
2080000041,فيلا,محافظة القاهرة,حى مصر الجديدة,33 ش عثمان بن عفان ناصية الامام علي,http://urbanharmony.org/images/tazalomat/02080000041.jpg,ذو قيمة معمارية/عمرانية متميزة,,,5,1
