page,prov_id,prov,city
13,1,الزيتون,محافظة القاهرة
14,1,حدائق القبة,محافظة القاهرة
15,1,الساحل,محافظة القاهرة
16,1,روض الفرج,محافظة القاهرة
17,1,شبرا,محافظة القاهرة
18,1,بولاق,محافظة القاهرة
10,1,مصر القديمة,محافظة القاهرة
11,1,الخليفة و المقطم,محافظة القاهرة
12,1,السيدة زينب,محافظة القاهرة
91,1,حى المعادى,محافظة القاهرة
92,1,حلوان,محافظة القاهرة
19,1,حى الموسكى,محافظة القاهرة
20,1,حى باب الشعرية,محافظة القاهرة
21,1,حى عابدين,محافظة القاهرة
22,1,حى وسط,محافظة القاهرة
23,1,حى غرب,محافظة القاهرة
24,1,حى الوايلى,محافظة القاهرة
5,1,حى مصر الجديدة,محافظة القاهرة
6,1,عين شمس ,محافظة القاهرة
7,1,النزهه,محافظة القاهرة
8,1,المرج,محافظة القاهرة
9,1,المطريه,محافظة القاهرة
25,4,وسط معمارى متميز,محافظة الاسكندرية
26,4,وسط تاريخى قومى,محافظة الاسكندرية
27,4,وسط شخصية تاريخية,محافظة الاسكندرية
28,4,وسط حقبة,محافظة الاسكندرية
29,4,وسط مزار سياحى,محافظة الاسكندرية
30,4,غرب معمارى متميز,محافظة الاسكندرية
31,4,غرب شخصية تاريخية,محافظة الاسكندرية
32,4,غرب حقبة تاريخية,محافظة الاسكندرية
33,4,شرق معمارى,محافظة الاسكندرية
34,4,شرق شخصية تاريخية ,محافظة الاسكندرية
35,4,شرق سياحى-المبانى التى تمثل مزار سياحى ,محافظة الاسكندرية
36,4,المنتزة معمارى,محافظة الاسكندرية
37,4,المنتزة مزار سياحى,محافظة الاسكندرية
38,4,الجمرك معمارى,محافظة الاسكندرية
39,4,الجمرك قومى,محافظة الاسكندرية
40,4,الجمرك شخصية تاريخية,محافظة الاسكندرية
41,4,العامرية معمارى,محافظة الاسكندرية
42,4,برج العرب معمارى,محافظة الاسكندرية
136,6,حى غرب,محافظة المنوفية
137,6,حى شرق,محافظة المنوفية
138,6,قرية ميلج,محافظة المنوفية
139,6,قرية زوير,محافظة المنوفية
140,6,قرية شبرا باص,محافظة المنوفية
141,6,البنتانون,محافظة المنوفية
142,6,ميت خلف,محافظة المنوفية
143,6,ميت ابو الكوم,محافظة المنوفية
144,6,كمشيش,محافظة المنوفية
145,6,كفر ربيع,محافظة المنوفية
146,6,طوخ دلكة,محافظة المنوفية
147,6,ساحل الجوابر,محافظة المنوفية
148,6,زاوية الناعورة,محافظة المنوفية
149,6,دناصور,محافظة المنوفية
150,6,حى شرق,محافظة المنوفية
151,6,حى غرب,محافظة المنوفية
152,6,شارع أحمد عرابى,محافظة المنوفية
153,6,شارع مصطفى كامل,محافظة المنوفية
154,6,كفر سبك,محافظة المنوفية
155,6,ميت البيضا,محافظة المنوفية
156,6,شطانوف,محافظة المنوفية
157,6,شنشور,محافظة المنوفية
158,6,الخور,محافظة المنوفية
159,6,ش صالح سالم,محافظة المنوفية
