id,type,addrs,value,name,owner,img_url,page,prov_id,prov,city
01030002373,عمارة,14 شارع ابن جحدم – حمامات القبة,ذات قيمة معمارية متميزة,,,http://urbanharmony.org/images/tazalomat/01030002373.jpg,1,,,
020800001029,عمارة,10 ش رشيد - مصرالجديدة,ذات قيمة معمارية متميزة,,,http://urbanharmony.org/images/tazalomat/020800001029.jpg,1,,,
04270000090,عمارة,38 ش 85 المعادى,ذات قيمة معمارية متميزة,,,http://urbanharmony.org/images/tazalomat/04270000090.jpg,1,,,
02080000038,كنيسة,22 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية,,وقف بطريركية الروم الأرثوذكس,,4,1,المنطقة الشرقية,محافظة القاهرة
02080000000,عمارة,28 ش اسماعيل رمزى رقم 5و13,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/02080000000.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000001,عمارة,36 ش الخليفة المأمون,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/52%20Othman%20Ebn%20Afan.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000002,عمارة,6 ش سيد عبد الواحد,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000003,عمارة,6 ش المماليك ناصية السلحدار,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000004,عمارة,8 ش المماليك ناصية السلحدار,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000006,عمارة,3 ش سيد عبد الواحد,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000007,عمارة,5 ش سيد عبد الواحد,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000008,عمارة,4 ش المماليك,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/02080000008.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000009,عقار,4 شفيق غربال ناصية المماليك,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/shafik%20ghbrial.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000010,عقار,24 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000002.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000011,عمارة,38 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000011.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000018,عمارة,3 ش القبة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000019,عمارة,5 ش القبة,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000019.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000021,عمارة,18 ش القبة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000023,عمارة,55 ش الخليفة المأمون ناصية علي الروبي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000024,عمارة,57 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000025,عمارة,61 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000026,عمارة,63 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000027,عمارة,65 ش الخليفة المأمون,ذو طراز معمارى متميز,,,http://urbanharmony.org/images/tazalomat/02080000027.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000028,عقار,11 ش شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000030,عمارة,14 ش السلحدار ناصية شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
